tinh_thanh,geojson_name_observed,normalized_key,match_status,region
An Giang,An Giang,an giang,matched,Thượng nguồn / vựa lúa
Bạc Liêu,Bạc Liêu,bac lieu,matched,Ven biển / rủi ro mặn
Bến Tre,Bến Tre,ben tre,matched,Ven biển / rủi ro mặn
Cà Mau,Cà Mau,ca mau,matched,Ven biển / rủi ro mặn
Cần Thơ,Cần Thơ,can tho,matched,Trung tâm / nội đồng
Hậu Giang,Hậu Giang,hau giang,matched,Trung tâm / nội đồng
Kiên Giang,Kiên Giang,kien giang,matched,Ven biển / rủi ro mặn
Long An,Long An,long an,matched,Trung tâm / nội đồng
Sóc Trăng,Sóc Trăng,soc trang,matched,Ven biển / rủi ro mặn
Tiền Giang,Tiền Giang,tien giang,matched,Trung tâm / nội đồng
Trà Vinh,Trà Vinh,tra vinh,matched,Ven biển / rủi ro mặn
Vĩnh Long,Vĩnh Long,vinh long,matched,Trung tâm / nội đồng
Đồng Tháp,Đồng Tháp,dong thap,matched,Thượng nguồn / vựa lúa
