nam,tinh_thanh,mua_vu,dien_tich,san_luong,tổng số giờ nắng,tổng lượng mưa,độ ẩm trung bình,nhiệt độ trung bình
1995,An Giang,dong_xuan,178.0,1088.9,1631.8,113.7,72.17,26.72
1995,An Giang,he_thu-thu_dong,185.0,770.0,1986.96,1469.0,80.89,27.61
1995,Bạc Liêu,dong_xuan,,,1648.44,154.3,75.81,26.39
1995,Bạc Liêu,he_thu-thu_dong,18.5,62.3,2138.39,1612.8,82.46,27.32
1995,Bến Tre,dong_xuan,22.1,91.1,1659.4,101.5,76.75,26.25
1995,Bến Tre,he_thu-thu_dong,21.0,77.0,2115.12,1745.9,84.89,27.14
1995,Cà Mau,dong_xuan,,,1649.82,211.6,74.99,26.52
1995,Cà Mau,he_thu-thu_dong,17.5,87.4,2062.94,2056.4,83.51,27.18
1995,Cần Thơ,dong_xuan,165.6,865.3,1640.31,110.0,75.22,26.36
1995,Cần Thơ,he_thu-thu_dong,230.0,824.1,2001.54,1454.0,83.24,27.2
1995,Hậu Giang,dong_xuan,,,1624.99,113.3,73.77,26.44
1995,Hậu Giang,he_thu-thu_dong,,,1973.57,1586.8,83.02,27.15
1995,Kiên Giang,dong_xuan,107.0,568.6,1638.27,120.9,72.78,26.67
1995,Kiên Giang,he_thu-thu_dong,170.0,629.1,2011.04,1522.7,81.67,27.51
1995,Long An,dong_xuan,156.0,589.5,1659.0,112.4,73.87,26.51
1995,Long An,he_thu-thu_dong,120.0,350.0,2102.33,1605.2,83.61,27.19
1995,Sóc Trăng,dong_xuan,45.0,216.3,1652.56,137.5,76.55,26.21
1995,Sóc Trăng,he_thu-thu_dong,98.0,445.4,2093.03,1480.1,83.84,27.16
1995,Tiền Giang,dong_xuan,79.3,435.8,1648.38,111.9,75.27,26.33
1995,Tiền Giang,he_thu-thu_dong,178.6,714.0,2046.15,1666.2,84.38,27.1
1995,Trà Vinh,dong_xuan,35.0,169.6,1651.43,108.8,76.48,26.2
1995,Trà Vinh,he_thu-thu_dong,50.0,220.5,2075.49,1660.2,84.34,27.14
1995,Vĩnh Long,dong_xuan,72.7,379.9,1638.91,102.9,75.11,26.48
1995,Vĩnh Long,he_thu-thu_dong,124.0,446.7,2005.09,1554.2,83.85,27.24
1995,Đồng Tháp,dong_xuan,175.0,943.5,1647.75,104.5,71.76,26.8
1995,Đồng Tháp,he_thu-thu_dong,185.0,669.9,2055.44,1545.3,81.04,27.6
1996,An Giang,dong_xuan,188.2,1132.5,1557.29,224.0,73.02,26.2
1996,An Giang,he_thu-thu_dong,206.7,795.7,1941.36,1670.5,84.54,26.97
1996,Bạc Liêu,dong_xuan,1.1,3.0,1561.93,322.0,78.4,25.56
1996,Bạc Liêu,he_thu-thu_dong,29.3,85.9,2121.24,1755.4,83.88,26.99
1996,Bến Tre,dong_xuan,21.8,95.1,1586.13,254.0,79.65,25.5
1996,Bến Tre,he_thu-thu_dong,25.9,95.5,2115.94,1785.2,86.97,26.75
1996,Cà Mau,dong_xuan,0.4,1.6,1572.7,418.8,77.17,25.78
1996,Cà Mau,he_thu-thu_dong,34.6,116.1,2011.26,2084.2,85.01,26.84
1996,Cần Thơ,dong_xuan,163.6,924.3,1558.38,265.3,78.38,25.54
1996,Cần Thơ,he_thu-thu_dong,233.8,855.6,1956.96,1652.6,86.2,26.66
1996,Hậu Giang,dong_xuan,,,1546.23,304.8,77.33,25.57
1996,Hậu Giang,he_thu-thu_dong,,,1919.46,1830.6,85.96,26.6
1996,Kiên Giang,dong_xuan,144.2,785.5,1590.16,253.0,75.33,25.97
1996,Kiên Giang,he_thu-thu_dong,211.7,620.0,1974.77,1717.3,84.88,26.94
1996,Long An,dong_xuan,181.6,735.7,1592.21,251.0,77.08,25.67
