lat,lon,mua_vu_encoded,nam_offset,gan_bien,tổng số giờ nắng,tổng lượng mưa,độ ẩm trung bình,nhiệt độ trung bình,dien_tich,dien_tich_lag1_ss,dien_tich_lag2_ss,dien_tich_roll2_ss,dien_tich_cross,nang_suat_lag1_ss,nang_suat_lag2_ss,nang_suat_roll2_ss,nang_suat_cross,nang_suat
9.1833,105.15,0,0,1,1649.82,211.6,74.99,26.52,0.4,,,,,,,,,4.0
9.1833,105.15,0,1,1,1572.7,418.8,77.17,25.78,0.4,0.4,,0.4,17.5,4.0,,4.0,4.994285714285715,4.0
9.1833,105.15,0,2,1,1487.78,606.7,79.67,25.71,2.2,0.4,0.4,0.4,34.6,4.0,4.0,4.0,3.3554913294797686,4.0
9.1833,105.15,0,3,1,1686.6,181.9,73.39,27.66,9.0,2.2,0.4,1.3,40.4,4.0,4.0,4.0,3.7054455445544554,1.3222222222222222
9.1833,105.15,0,4,1,1492.58,757.1,80.75,26.0,21.9,9.0,2.2,5.6,55.0,1.3222222222222222,4.0,2.661111111111111,3.6272727272727274,3.9726027397260277
9.1833,105.15,0,5,1,1526.64,682.1,79.03,25.84,15.0,21.9,9.0,15.45,61.6,3.9726027397260277,1.3222222222222222,2.647412480974125,3.8571428571428568,3.6733333333333333
9.1833,105.15,0,6,1,1538.0,637.3,81.58,25.93,8.4,15.0,21.9,18.45,86.2,3.6733333333333333,3.9726027397260277,3.822968036529681,4.190255220417633,3.964285714285714
9.1833,105.15,0,7,1,1618.7,172.3,74.14,26.34,6.2,8.4,15.0,11.7,32.9,3.964285714285714,3.6733333333333333,3.8188095238095237,3.5440729483282674,2.403225806451613
9.1833,105.15,0,8,1,1633.16,464.2,77.46,26.69,0.9,6.2,8.4,7.300000000000001,37.3,2.403225806451613,3.964285714285714,3.1837557603686637,3.72117962466488,3.1111111111111107
9.1833,105.15,0,9,1,1654.96,229.8,75.61,26.44,0.7,0.9,6.2,3.5500000000000003,34.1,3.1111111111111107,2.403225806451613,2.757168458781362,3.4985337243401755,3.8571428571428577
9.1833,105.15,0,10,1,1680.15,167.0,75.13,26.55,0.4,0.7,0.9,0.8,35.8,3.8571428571428577,3.1111111111111107,3.484126984126984,3.8519553072625703,3.4999999999999996
9.1833,105.15,0,11,1,1527.86,645.6,78.59,26.21,0.4,0.4,0.7,0.55,36.2,3.4999999999999996,3.8571428571428577,3.678571428571429,4.157458563535911,3.75
9.1833,105.15,0,12,1,1599.97,388.2,78.78,26.34,0.0,0.4,0.4,0.4,36.1,3.75,3.4999999999999996,3.625,3.6648199445983383,0.0
9.1833,105.15,0,13,1,1580.48,286.3,75.91,26.28,0.0,0.0,0.4,0.2,36.0,0.0,3.75,1.875,3.3944444444444444,0.0
9.1833,105.15,0,14,1,1514.48,528.9,81.59,25.64,0.0,0.0,0.0,0.0,36.3,0.0,0.0,0.0,3.8842975206611574,0.0
9.1833,105.15,0,15,1,1590.32,217.0,76.04,26.9,0.0,0.0,0.0,0.0,36.1,0.0,0.0,0.0,3.9279778393351803,0.0
9.1833,105.15,0,16,1,1423.81,894.4,80.43,25.79,0.0,0.0,0.0,0.0,35.6,0.0,0.0,0.0,4.314606741573034,0.0
9.1833,105.15,0,17,1,1526.58,668.8,81.38,26.13,0.0,0.0,0.0,0.0,35.4,0.0,0.0,0.0,4.525423728813559,0.0
9.1833,105.15,0,18,1,1563.07,372.3,77.96,26.77,0.0,0.0,0.0,0.0,35.8,0.0,0.0,0.0,4.770949720670392,0.0
9.1833,105.15,0,19,1,1562.81,330.2,76.75,25.78,0.0,0.0,0.0,0.0,35.5,0.0,0.0,0.0,4.535211267605634,0.0
9.1833,105.15,0,20,1,1597.4,438.2,78.17,26.08,0.0,0.0,0.0,0.0,36.7,0.0,0.0,0.0,4.318801089918256,0.0
9.1833,105.15,0,21,1,1637.71,339.1,76.43,27.16,0.0,0.0,0.0,0.0,36.4,0.0,0.0,0.0,4.178571428571429,0.0
9.1833,105.15,0,22,1,1467.2,724.0,80.44,26.33,1.3,0.0,0.0,0.0,37.1,0.0,0.0,0.0,4.479784366576819,3.0
9.1833,105.15,0,23,1,1437.37,495.1,79.15,26.16,0.0,1.3,0.0,0.65,36.7,3.0,0.0,1.5,4.258855585831062,0.0
9.1833,105.15,0,24,1,1568.27,466.7,77.38,26.85,36.5,0.0,1.3,0.65,36.5,0.0,3.0,1.5,4.126027397260274,5.3863013698630136
9.1833,105.15,0,25,1,1650.79,199.8,72.81,27.12,36.1,36.5,0.0,18.25,36.1,5.3863013698630136,0.0,2.6931506849315068,4.6814404432132966,5.781163434903046
9.1833,105.15,0,26,1,1537.06,482.7,77.73,26.16,35.72,36.1,36.5,36.3,35.8,5.781163434903046,5.3863013698630136,5.5837324023830295,3.87709497206704,6.518197088465846
9.1833,105.15,0,27,1,1462.31,602.7,77.59,26.68,35.3,35.72,36.1,35.91,35.31,6.518197088465846,5.781163434903046,6.149680261684447,4.850467289719626,6.076203966005666
9.1833,105.15,0,28,1,1427.04,592.9,78.5,26.09,35.23,35.3,35.72,35.51,35.2,6.076203966005666,6.518197088465846,6.297200527235756,4.646022727272727,6.207777462390009
9.1833,105.15,0,29,1,1606.94,295.4,76.04,27.5,35.23,35.23,35.3,35.265,35.24,6.207777462390009,6.076203966005666,6.141990714197838,4.95261066969353,6.170877093386319
9.1833,105.15,1,0,1,2062.94,2056.4,83.51,27.18,17.5,,,,0.4,,,,4.0,4.994285714285715
9.1833,105.15,1,1,1,2011.26,2084.2,85.01,26.84,34.6,17.5,,17.5,0.4,4.994285714285715,,4.994285714285715,4.0,3.3554913294797686
9.1833,105.15,1,2,1,2127.54,1717.7,83.96,26.99,40.4,34.6,17.5,26.05,2.2,3.3554913294797686,4.994285714285715,4.174888521882742,4.0,3.7054455445544554
9.1833,105.15,1,3,1,1989.91,2124.6,82.74,27.65,55.0,40.4,34.6,37.5,9.0,3.7054455445544554,3.3554913294797686,3.530468437017112,1.3222222222222222,3.6272727272727274
9.1833,105.15,1,4,1,2020.65,2243.6,86.08,26.37,61.6,55.0,40.4,47.7,21.9,3.6272727272727274,3.7054455445544554,3.6663591359135914,3.9726027397260277,3.8571428571428568
9.1833,105.15,1,5,1,1964.57,2133.5,85.74,26.55,86.2,61.6,55.0,58.3,15.0,3.8571428571428568,3.6272727272727274,3.7422077922077923,3.6733333333333333,4.190255220417633
9.1833,105.15,1,6,1,2004.39,1978.0,85.74,26.77,32.9,86.2,61.6,73.9,8.4,4.190255220417633,3.8571428571428568,4.023699038780245,3.964285714285714,3.5440729483282674
9.1833,105.15,1,7,1,2156.9,1427.0,81.96,27.39,37.3,32.9,86.2,59.55000000000001,6.2,3.5440729483282674,4.190255220417633,3.8671640843729507,2.403225806451613,3.72117962466488
9.1833,105.15,1,8,1,1965.8,2133.5,84.4,26.92,34.1,37.3,32.9,35.099999999999994,0.9,3.72117962466488,3.5440729483282674,3.632626286496574,3.1111111111111107,3.4985337243401755
9.1833,105.15,1,9,1,2058.42,2026.2,83.5,27.02,35.8,34.1,37.3,35.7,0.7,3.4985337243401755,3.72117962466488,3.6098566745025282,3.8571428571428577,3.8519553072625703
9.1833,105.15,1,10,1,2090.96,1693.3,83.09,27.24,36.2,35.8,34.1,34.95,0.4,3.8519553072625703,3.4985337243401755,3.6752445158013733,3.4999999999999996,4.157458563535911
9.1833,105.15,1,11,1,1958.18,2281.9,86.02,26.61,36.1,36.2,35.8,36.0,0.4,4.157458563535911,3.8519553072625703,4.004706935399241,3.75,3.6648199445983383
9.1833,105.15,1,12,1,1855.36,2164.6,85.64,26.79,36.0,36.1,36.2,36.150000000000006,0.0,3.6648199445983383,4.157458563535911,3.911139254067125,0.0,3.3944444444444444
9.1833,105.15,1,13,1,1942.04,2236.8,85.36,26.64,36.3,36.0,36.1,36.05,0.0,3.3944444444444444,3.6648199445983383,3.5296321945213918,0.0,3.8842975206611574
9.1833,105.15,1,14,1,1956.85,1857.3,85.14,27.0,36.1,36.3,36.0,36.15,0.0,3.8842975206611574,3.3944444444444444,3.6393709825528013,0.0,3.9279778393351803
9.1833,105.15,1,15,1,1987.74,2206.6,83.58,27.45,35.6,36.1,36.3,36.2,0.0,3.9279778393351803,3.8842975206611574,3.906137679998169,0.0,4.314606741573034
9.1833,105.15,1,16,1,2052.45,1898.3,84.83,26.83,35.4,35.6,36.1,35.85,0.0,4.314606741573034,3.9279778393351803,4.121292290454107,0.0,4.525423728813559
9.1833,105.15,1,17,1,2008.72,1792.5,85.2,26.79,35.8,35.4,35.6,35.5,0.0,4.525423728813559,4.314606741573034,4.420015235193297,0.0,4.770949720670392
9.1833,105.15,1,18,1,1929.6,2189.7,85.29,26.91,35.5,35.8,35.4,35.599999999999994,0.0,4.770949720670392,4.525423728813559,4.648186724741976,0.0,4.535211267605634
9.1833,105.15,1,19,1,2052.0,2099.3,84.55,27.17,36.7,35.5,35.8,35.65,0.0,4.535211267605634,4.770949720670392,4.653080494138013,0.0,4.318801089918256
9.1833,105.15,1,20,1,2149.37,1833.3,81.77,27.57,36.4,36.7,35.5,36.1,0.0,4.318801089918256,4.535211267605634,4.427006178761945,0.0,4.178571428571429
9.1833,105.15,1,21,1,1928.27,1864.6,82.74,27.62,37.1,36.4,36.7,36.55,0.0,4.178571428571429,4.318801089918256,4.248686259244843,0.0,4.479784366576819
9.1833,105.15,1,22,1,1799.97,2421.1,85.08,27.06,36.7,37.1,36.4,36.75,1.3,4.479784366576819,4.178571428571429,4.329177897574125,3.0,4.258855585831062
9.1833,105.15,1,23,1,1896.98,1836.3,83.73,27.19,36.5,36.7,37.1,36.900000000000006,0.0,4.258855585831062,4.479784366576819,4.369319976203942,0.0,4.126027397260274
9.1833,105.15,1,24,1,1936.94,1838.1,83.96,27.47,36.1,36.5,36.7,36.6,36.5,4.126027397260274,4.258855585831062,4.192441491545669,5.3863013698630136,4.6814404432132966
9.1833,105.15,1,25,1,1769.04,2230.1,83.38,27.56,35.8,36.1,36.5,36.3,36.1,4.6814404432132966,4.126027397260274,4.403733920236785,5.781163434903046,3.87709497206704
9.1833,105.15,1,26,1,1869.91,1896.9,84.82,27.2,35.31,35.8,36.1,35.95,35.72,3.87709497206704,4.6814404432132966,4.279267707640169,6.518197088465846,4.850467289719626
9.1833,105.15,1,27,1,1792.99,2159.3,84.45,26.85,35.2,35.31,35.8,35.555,35.3,4.850467289719626,3.87709497206704,4.363781130893333,6.076203966005666,4.646022727272727
9.1833,105.15,1,28,1,1914.32,2228.2,83.27,27.59,35.24,35.2,35.31,35.255,35.23,4.646022727272727,4.850467289719626,4.748245008496177,6.207777462390009,4.95261066969353
9.1833,105.15,1,29,1,1888.88,2137.0,82.05,28.02,35.24,35.24,35.2,35.22,35.23,4.95261066969353,4.646022727272727,4.799316698483128,6.170877093386319,5.022985244040862
9.2833,105.7167,0,0,1,1648.44,154.3,75.81,26.39,1.1,,,,,,,,,2.727272727272727
9.2833,105.7167,0,1,1,1561.93,322.0,78.4,25.56,1.1,1.1,,1.1,18.5,2.727272727272727,,2.727272727272727,3.3675675675675674,2.727272727272727
9.2833,105.7167,0,2,1,1506.88,641.3,79.9,25.69,7.1,1.1,1.1,1.1,29.3,2.727272727272727,2.727272727272727,2.727272727272727,2.9317406143344713,2.295774647887324
9.2833,105.7167,0,3,1,1695.78,148.8,74.58,27.49,20.6,7.1,1.1,4.1,30.3,2.295774647887324,2.727272727272727,2.5115236875800253,4.013201320132013,2.4854368932038833
9.2833,105.7167,0,4,1,1508.97,647.6,79.93,26.14,28.7,20.6,7.1,13.850000000000001,53.2,2.4854368932038833,2.295774647887324,2.3906057705456036,4.157894736842104,4.411149825783972
9.2833,105.7167,0,5,1,1539.25,715.3,79.34,25.84,34.4,28.7,20.6,24.65,70.8,4.411149825783972,2.4854368932038833,3.4482933594939276,4.036723163841808,4.203488372093023
9.2833,105.7167,0,6,1,1553.55,540.4,80.72,26.08,25.7,34.4,28.7,31.55,84.6,4.203488372093023,4.411149825783972,4.307319098938498,4.293144208037825,4.062256809338522
9.2833,105.7167,0,7,1,1614.47,205.5,75.61,26.08,19.0,25.7,34.4,30.050000000000004,72.9,4.062256809338522,4.203488372093023,4.132872590715772,4.270233196159122,4.421052631578948
9.2833,105.7167,0,8,1,1639.38,417.2,78.17,26.58,19.2,19.0,25.7,22.35,72.7,4.421052631578948,4.062256809338522,4.241654720458735,4.434662998624484,4.09375
9.2833,105.7167,0,9,1,1665.15,174.4,76.71,26.24,11.3,19.2,19.0,19.1,58.3,4.09375,4.421052631578948,4.257401315789474,4.449399656946826,5.442477876106194
9.2833,105.7167,0,10,1,1692.44,104.6,75.92,26.36,18.6,11.3,19.2,15.25,56.6,5.442477876106194,4.09375,4.768113938053097,4.628975265017668,5.086021505376343
9.2833,105.7167,0,11,1,1535.31,563.2,79.32,26.14,28.0,18.6,11.3,14.950000000000001,58.6,5.086021505376343,5.442477876106194,5.264249690741268,4.733788395904436,5.607142857142857
9.2833,105.7167,0,12,1,1612.43,263.4,78.05,26.46,33.9,28.0,18.6,23.3,50.8,5.607142857142857,5.086021505376343,5.3465821812596,4.468503937007874,5.218289085545723
9.2833,105.7167,0,13,1,1572.4,219.5,77.44,26.01,40.0,33.9,28.0,30.95,53.3,5.218289085545723,5.607142857142857,5.41271597134429,4.219512195121951,5.8175
9.2833,105.7167,0,14,1,1513.14,582.0,81.77,25.7,42.2,40.0,33.9,36.95,49.1,5.8175,5.218289085545723,5.517894542772861,4.778004073319756,5.831753554502369
9.2833,105.7167,0,15,1,1591.87,186.2,77.41,26.69,44.6,42.2,40.0,41.1,55.8,5.831753554502369,5.8175,5.824626777251185,4.6164874551971335,5.641255605381166
9.2833,105.7167,0,16,1,1456.44,766.2,80.31,25.82,45.8,44.6,42.2,43.400000000000006,56.9,5.641255605381166,5.831753554502369,5.7365045799417675,5.04920913884007,6.665938864628822
9.2833,105.7167,0,17,1,1531.64,397.9,80.17,26.32,54.6,45.8,44.6,45.2,55.8,6.665938864628822,5.641255605381166,6.153597235004994,5.396057347670252,6.338827838827839
9.2833,105.7167,0,18,1,1567.24,356.8,78.32,26.74,49.3,54.6,45.8,50.2,55.8,6.338827838827839,6.665938864628822,6.50238335172833,5.365591397849462,6.596348884381339
9.2833,105.7167,0,19,1,1580.75,259.7,77.85,25.66,46.2,49.3,54.6,51.95,56.4,6.596348884381339,6.338827838827839,6.467588361604589,5.4787234042553195,7.244588744588744
